Shader Name	Description
SuperHairAtoC	super shader for hair rendering, atoc version
Caustics	shader for caustics effect
Refract	shader for refractions _ARMA3_REFRACTION
SpriteRefract	_ARMA3_REFRACTION_SPRITES - Shader used for sprite rendering with refraction - it uses SoftParticle approach
SpriteRefractSimple	_ARMA3_REFRACTION_SPRITES - Shader used for sprite rendering with refraction- no SoftParticle approach
SuperAToC	Super shader AToC variant
NonTLFlareNew	shader to be used for flares, new HDR version
NonTLFlareLight	shader to be used for flares from dynamic lights (not sun)
TerrainNoDetailX	terrainX without detail map
TerrainNoDetailSNX	terrainSNX without detail map
TerrainSimpleSNX	terrainSNX without parallax mapping
NormalPiP	shader for PiP screens
NonTLFlareNewNoOcclusion	same as NonTLFlareNew, but without occlusion test
Empty	empty shader, does not output anything (used only for depth output)
Point	Shader used for point lights
TreeAdvTrans	same as TreeAdv, but there is translucency map in alpha channel of MCA texture ( instead of AO)
TreeAdvTransAToC	same as TreeAdv, but there is translucency map in alpha channel of MCA texture ( instead of AO)
Collimator	special shader for collimator
LODDiag	shader for lod diagnostics
DepthOnly	Special replacement for AlphaOnly for priming non- alpha objects
